Sr. No.,ProductTitle,Category,ProductSubCat,ProductWeight,based,Size 1,Size 2,Size 3,Size 4,Size 5,ProductWashability,ProductDurability,ProductShades,ProductCoverage,ProductFinish,ProductDryingTime,ProductDetails,One Liner,ProductFeature1,ProductFeature2,ProductFeature3,ProductFeature4,ProductFeature5,ProductFeature6,ProductPIS,ProductSurfacePreparation,ProductMixingthePaint,ProductApplyingthePaint,ProductCleanUp,ProductFinalTouches,ProductMaterials,ProductTips,Question 1,Question 2,Question 3,Question 4,Question 5,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Image,PIS,Product Page URL
11,Tractor Uno,Interior,Economy,Kg,Water,2,5,10,20,,2 (Low Washable),2-4 Years,950+,85-100 Sq.ft./Kg,Highly Matt,30 Minutes,"Asian Paints Tractor Uno is a water based, interior wall paint. It is a value for money product that makes it
possible for consumers to have beautiful walls at affordable prices. Asian Paints Tractor Uno Acrylic Distemper offers smooth, matt finish. Your walls look like new for a longer time as the shades retain their brightness. ",,Affordable Distemper,,,,,,,,,,,,,,Is Tractor Uno paint washable?,What is the expected coverage per kg of Tractor Uno?,How many coats are recommended for Tractor Uno?,How long will Tractor Uno last after application?,What is the dilution ratio for Tractor Uno?,"Yes, Asian Paints Tractor Uno is washable. This feature allows you to keep your walls clean with a simple wet cloth.",The expected coverage per kg on a smooth primed masonry surface for 2 coats is 85 - 100 sq.ft/kg.,2 coats of Asian Paints Tractor Uno are recommended to give your walls the right finish,"Asian Paints Tractor Uno has various features, such as its washability, which helps you keep it clean, stain-free, and durable for a long time.","When applied with a brush, Asian Paints Tractor Uno has a dilution ratio of 65 - 75.",Yes,Yes,
12,Apcolite All Protek Shyne,Interior,Premium,Liter,Water,1,4,10,20,,3 (Medium Washable),4-6 Years,2100+,120-140 Sq.ft./Ltr,Soft Sheen,30 Minutes,"Apcolite All Protek Shyne is a revolutionary indoor water based paint that provides all round protection to your home. Its innovative technology enhances safety by providing excellent flame spread resistance. Its Advanced Stain Guard protects life of paint by making stains easy to clean. The Lotus effect protects beauty of paint by ensuring water based stains do not stick to your walls. The paint has advanced stain guard which enables
stains to be cleaned easily. Apcolite All Protek provides best stain resistance in the range.",,Flame Retardancy: PROTECTS YOU,Stain Repellency,Lotus Effect Technology,Fragrance: GIVES PLEASANT SMELL DURING PAINTING,,,,,,,,,,,Is Apcolite All Protek Shyne paint washable?,What is the expected coverage per litre of Apcolite All Protek Shyne?,How many coats are recommended for Apcolite All Protek Shyne?,How long will Apcolite All Protek Shyne last after application?,What is the dilution ratio for Apcolite All Protek Shyne?,"Yes, Asian Paints Apcolite All Protek Shyne is washable due to its features like Stain Repellency and Lotus Effect Technology. This makes cleaning easier, and the water-beading technology helps trickle water off the wall instead of leaving stains.","Asian Paints Apcolite All Protek Shyne paints expected coverage is as per the coats applied. On a smooth masonry surface by brushing, 1 coat can be 24-26 sq.m./l, and 2 coats can be 12-13 sq.m./l. However the actual coverage may be different as it may depend on the surface and the condition of the surface.","To get the right look and protection, it’s suggested that you apply two coats of Asian Paints Apcolite All Protek Shyne.","Asian Paints Apcolite All Protek Shyne will last years to come with its Flame Retardancy, Stain Repelency, Lotus Effect Technology, and Best-in-Class Washability.","The dilution ratio of Asian Paints Apcolite All Protek Shyne depends on the tool you’ll be using. For brush, roller, and spray, it is 30%-40%.",Yes,Yes,
13,Apcolite Advanced Shyne Premium Emulsion ,Interior,Premium,Liter,Water,1,4,10,20,,3 (Medium Washable),4-6 Years,2100+,120-130 Sq.ft./Ltr,Soft Sheen,30 Minutes,"Asian Paints Apcolite Advanced Shyne with advanced stain guard, makes wiping stains off walls an easy task, while still keeping your walls new and colourful. Offers a sheen finish to give your walls a beautiful look. Apcolite Advanced Shyne comes with a comprehensive 6 years* of performance warranty & 3 years* of waterproofing warranty.",,Sheen Finish,Anti Fungal Sheild,Advanced Satin Guard,Low VOC Content,,,,,,,,,,,What is Apcolite Advanced Shyne?,What is the VOC Content for Apcolite Advanced Shyne?,What are the areas of application for Apcolite Advanced Shyne?,What is the shelf-life of Apcolite Advanced Shyne?,,"Asian Paints Apcolite Advanced Shyne is an interior wall paint that has an advanced stain guard, which makes wiping stains, spills, and splashes on your walls easier, keeping them fresh, clean and colourful for a longer time.","Asian Paints Apcolite Advanced Shyne is a low VOC content emulsion, which makes your home a safe and comforting space to live in.","Apcolite Advanced Shyne paint can be applied to the interior walls of your home to create a space that stands out, looks aesthetic, and is clean.",The Apcolite Advanced Shyne has 5 years of shelf life from the date of manufacture in original tightly closed containers away from direct sunlight and excessive heat.,,Yes,Yes,
14,Apcolite All Protek Matt,Interior,Premium,Liter,Water,1,4,10,20,,3 (Medium Washable),4-6 Years,2100+,120-130 Sq.ft./Ltr,Matt (G-20),30 Minutes,Apcolite All Protek is a revolutionary indoor water based paint that provides all round protection to your home. Its innovative hybrid technology enhances safety by providing excellent flame spread resistance. Its Advanced Stain Guard protects life of paint by making stains easy to clean. The Lotus effect protects beauty of paint by ensuring water based stains do not stick to your walls. The paint has advanced stain guard which enables stains to be cleaned easily. Apcolite All Protek provides best stain resistance in the range.,,Flame Retardancy: PROTECTS YOU,Lotus Effect Technology: PROTECTS BEAUTY OF WALL,Stain Repellency: PROTECTS LIFE OF PAINT,Fragrance: GIVES PLEASANT SMELL DURING PAINTING,,,,,,,,,,,Is Apcolite All Protek Matt paint washable?,What is the expected coverage per liter of Apcolite All Protek Matt?,How many coats are recommended for Apcolite All Protek Matt?,How long will Apcolite All Protek Matt last after application?,What is the dilution ratio for Apcolite All Protek Matt?,"Asian Paints Apcolite All Protek Matt is a washable paint with features such as Stain Repellant and Lotus Effect Technology, which help to clean household stains with ease and avoid water spots.","The expected coverage of Asian Paints Apcolite All Protek Matt depends on the number of coats applied. For one coat, the expected coverage is 24-26 sq. m./l, while for two coats, it is 12-13 sq. m./l. However, the expected coverage may differ from the actual coverage depending on the surface; please refer to our product information sheet for more details.","It is recommended that you apply 2 coats of Asian Paints Apcolite All Protek Matt with a roller, brush, or spray. This will help you create the perfect walls with the look you want for your space.","Asian Paints Apcolite All Protek Matt will last a long time. The paint comes with various features, such as stain repellency, flame retardancy, lotus effect technology, a 6-year performance warranty, a 3-year waterproofing warranty, and best-in-class washability, which keeps your wall fresh and stain-free for years.","The dilution ratio of Asian Paints Apcolite All Protek Matt depends on the type of painting tool you are using. For a brush and roller, the ratio is 30%-40%, while for the",Yes,Yes,
15,Apcolite Advanced Premium Emulsion ,Interior,Premium,Liter,Water,1,4,10,20,,3 (Medium Washable),4-6 Years,2100+,130-150 Sq.ft/Ltr,Matt (G-20),30 Minutes,"Asian Paints Apcolite Advanced Matt provides a rich and matt finish with excellent stain cleanability and resistance to burnish. Your house is a temple of stories and your walls play the role of the flashback of all those stories. Some will bring you joy, some, tears. The stains can be washed, but memories have to stay. With Apcolite Advanced Heavy Duty Emulsion, a washable, water based paint, you won't have to worry about stains. Its advanced stain guard makes cleaning the walls a cake walk, and also protects them from fungus, moisture and mildew.",,Rich Matt Finish,Anti Fungal Shield,Advanced Stain Guard,Abrasion Resistance,Burnish Resistance,Low VOC Content,,,,,,,,,Is Apcolite Advanced Matt paint washable?,What is the expected coverage per liter of Apcolite Advanced Matt?,How many coats are recommended for Apcolite Advanced Matt?,How long will Apcolite Advanced Matt last after application?,What is the dilution ratio for Apcolite Advanced Matt?,"Asian Paints Apcolite Advanced Matt has best-in-class washability, which helps to create walls that are easy to clean and maintain.","The expected coverage per liter of Asian Paints Apcolite Advanced Matt on a normal masonry surface after brushing for one coat and the second coat is 260 - 300 sq.ft/ltr and 140-160 sq.ft/It, respectively.","To achieve the desired results for your home wall painting, it is recommended that you apply two coats of Asian Paints Apcolite Advanced Matt.","Asian Paints Apcolite Advanced Matt comes with an anti-fungal shield, advanced stain guard, abrasion resistance, burnish resistance, a 6-year performance warranty and a 3-year waterproofing warranty; all these features and benefits help you to create walls that last you years to come.",Asian Paints Apcolite Advanced Matt has a dilution ratio of 40-50 for brush and 60-65 for spray.,Yes,Yes,
16,Apcolite Premium Satin Emulsion ,Interior,Premium,Liter,Water,1,4,20,,,3 (Medium Washable),4-6 Years,2100+,95-115 sq.ft/ltr,Soft Sheen,30 Minutes,"Apcolite Premium Satin Emulsion provides rich Satin finish with high washability and excellent stain resistance. Apcolite Premium Satin Emulsion offers rich Satin finish which means your walls get a Luxury look. Live the satin dream. Give your home a rich satin finish with Apcolite Premium Satin Emulsion. It is easily washable and offers excellent stain resistance, thereby maintaining the beauty of your home for decades. This satin finish paint ensures that your walls will have a long-lasting flare on them, as it can withhold many wash cycles.",,High Washability,Anti Fungal Shield,Advanced Stain Guard,Rich Satin Finish,,,,,,,,,,,Is Apcolite Premium Satin Emulsion paint washable?,What is the expected coverage per litre of Apcolite Premium Satin Emulsion?,How many coats are recommended for Apcolite Premium Satin Emulsion?,How long will Apcolite Premium Satin Emulsion last after application?,What is the dilution ratio for Apcolite Premium Satin Emulsion?,"Asian Paints Apcolite Premium Satin Emulsion has the best-in-class washability, which makes it easier to keep the walls clean and beautiful for a long time.","Asian Paints Apcolite Premium Satin Emulsion coverage per litre for one coat is 180- 220 sq.ft/ltr; for two coats, it is 95-115 sq.ft/lt.","Two coats of Asian Paints Apcolite Premium Satin Emulsion are recommended to get the perfect wall with a shiny, smooth finish and advanced anti-fungal and stain resistance.","Asian Paints Apcolite Premium Satin Emulsion will last you years to come. This emulsion has a rich satin finish, anti-fungal shield, best-in-class washability, and more, which helps you keep your walls durable.",Asian Paints Apcolite Premium Satin Emulsion has a dilution ratio of 15- 25 with a brush and 25-35 with a spray.,Yes,Yes,
17,Apcolite Premium Emulsion ,Interior,Premium,Liter,Water,1,4,10,20,,3 (Medium Washable),4-6 Years,2100+,130-150 Sq.ft/Ltr,Matt (G-20),30 Minutes,"Asian Paints Apcolite Premium Emulsion provides a rich and matt finish to the wall due to its super-acrylic quality. Asian Paints Apcolite Premium Emulsion has a rich and smooth matt finish that oozes sophistication. Apcolite Premium Emulsion has been fortified with Stain Guard technology that guards your walls against most household stains and ensures easy cleanability. A paint with no complaints! Standing tall and strong as decades go by. Some walls have even seen generations go by and not withered. Those walls had the touch of Apcolite Premium Emulsion. Persistent paint protection film and stain guard of this washable wall paint will keep you stress free and stain free.

lucky-draw-redirection-banner-image-desktop-updated
Meet Virat Kohli 
Buy Asian Paints All Protek and get a chance to meet Virat Kohli.

Participate now
Get the right assistance for all your painting needs
Fill the form below to book a free site evaluation by an Asian Paints Safe Painting Service expert.

Enter your name*
Enter your Email*
Enter mobile number*
Pincode*
Yes, I would like to receive important updates and notifications on WhatsApp
By proceeding, you are authorizing Asian Paints and its suggested contractors to get in touch with you through calls, sms, or e-mail

ENQUIRE NOW
Stain Guard for Interior Walls - Asian Paints
ADVANCED STAIN GUARD
Stain resistance keeps walls new and stain free.

Fungus Resistance for Interior Walls - Asian Paints
ANTI FUNGAL SHIELD
Protection from fungus that causes damage to your walls.

exterior-finishes-ace-sparc-performance-warranty-asian-paints
5 YEARS WARRANTY
5 years performance warranty for long lasting impact.

Pack sizes available
b30l
20 L
MRP ₹8750.00
(Inclusive of all taxes)
b30l
10 L
MRP ₹4550.00
(Inclusive of all taxes)
b30l
4 L
MRP ₹1885.00
(Inclusive of all taxes)
b30l
1 L
MRP ₹489.00
(Inclusive of all taxes)
*Please note that the final cost may vary depending on the chosen shade and finish.
Painting Quotation Calculator
wc-web
Waterproofing Calculator
Get an instant estimate
Calculate now
royale-designer-shade-card-crosslink-asian-paints
",,Rich Matt Finish,Anti Fungal Shield,Stain Guard,Nano Block,,,,,,,,,,,Is Apcolite Premium Emulsion paint washable?,What is the expected coverage per litre of Apcolite Premium Emulsion?,How many coats are recommended for Apcolite Premium Emulsion?,How long will Apcolite Premium Emulsion last after application?,What is the dilution ratio for Apcolite Premium Emulsion?,"Asian Paints Apcolite Premium Emulsion is high in washability, which helps create walls that are easy to clean and maintain.",Asian Paints Apcolite Premium Emulsion’s expected coverage per litre for one coat is 260 - 300 sq.ft/ltr and two coats for 130 - 150 sq.ft/ltr.,"Two coats of Asian Paints Apcolite Premium Emulsion are recommended. This helps create durable walls that are matt smooth and stain—and mold-resistant, among other things.","Asian Paints Apcolite Premium Emulsion has many features such as Stain Guard, Anti Fungal Shield, Nano Block technology, a 5-year performance warranty and a 3-year waterproofing warranty. These features help you make your paint long-lasting.",Asian Paints Apcolite Premium Emulsion has a dilution ratio of 60-70 when applied with a brush or roller and 70-75 when applied with a spray.,Yes,Yes,
18,Asian Paints Interior Wall Finish - Lustre,Interior,Premium,Liter,Solvent,1,4,10,20,,3 (Medium Washable),4-6 Years,1114+,75 - 95 sq.ft/ltr**,Soft Sheen,2-3 Hours,"Asian Paints Interior Wall Finish- Lustre provides a very tough and durable finish to your walls. When applied with a roller, it imports a characteristic pattern on to the wall. Asian Paints Interior Wall Finish - Lustre is solvent based and develops a characteristic lustrous pattern when rolled. On drying, is highly washable and exhibits superior water repellency.",,Solvent Based,Washability,Durability,,,,,,,,,,,,What is Interior Wall Finish Lustre?,What is the Application process for Interior Wall Finish Lustre?,What are the areas of application for Interior Finish Lustre?,What is the shelf-life of Interior Finish Lustre?,,"Asian Paints Lustre Interior Wall Finish is the perfect durable, semi-gloss finish for your home interiors. It helps to keep your walls durable with its superior washability and water repellency to keep them clean, fresh, and aesthetic.","The application process for Asian Paints Interior Wall Finish Lustre is as follows: ● Sand the Surface with Emery Paper 180 and wipe clean. ● Use Asian Paints Wall Primer by using a brush or a spray. ● Apply the Asian Paints Acrylic Wall Putty with a putty knife. ● Sand the Surface with Emery Paper 180 and wipe clean. ● Apply the first coat of Asian Paints Interior Wall Finish Lustre with a brush, roller or spray. ● In the end, apply the second coat of Asian Paints Interior Wall Finish Lustre with a brush, roller or spray. ● Also, apply 2 coats of Interior Wall Finish Lustre for repainting your walls and 3 coats for fresh surface painting as given above.","Asian Paints Lustre Interior Wall Finish is an interior wall finish that can be applied on suitably prepared masonry wall surfaces in your home to give them a layer of protection, increasing their durability and washability.",The shelf life of Asian Paints Luster Interior Wall Finish is 3 years from the date of manufacture in original tightly closed containers away from direct sunlight and excessive heat.,,Yes,Yes,
19,Royale Aspira,Interior,Luxury,Liter,Water,1,4,10,20,,4 (Good Washable),6-8 Years,1750+,120-140 Sq.ft./Ltr,High Sheen,30 Minutes,"Royale Aspira is the international gold standard in paints. Technologically, it is amongst the most advanced paints in the world. When applied on walls, it imparts a high sheen. Royale Aspira comes with Teflon® Surface Protector which enables easy removal of the toughest stains. This combined with the hydrophobic nature increases the durability of the paint film and makes your walls look new and STAY new for longer. spira's elastic film stretches to almost 400%, covering up the coven hairline cracks and ensuring that they are not visible.",,Teflon® Surface Protector,Unsurpassed water beading technology,Superior Stain Resistance,Unmatched flame spread resistance,Environmentally Responsible,Exceptional Crack Bridging Property,,,,,,,,,Is Royale Aspira paint washable?,What is the expected coverage per liter of Royale Aspira?,How many coats are recommended for Royale Aspira?,How long will Royale Aspira last after application?,What is the dilution ratio for Royale Aspira?,"Asian Paints Royale Aspira features water beading technology and Teflon® Surface Protector, making it stain-resistant and water-repellent. Its hydrophobic nature prevents moisture damage, while the Teflon® coating makes cleaning household stains easier.","The expected coverage per liter for Asian Paints Royale Aspira is 237-258 sq.ft/Itr for one coat and 118-140 sq.ft/ltr for two coats. However, the actual coverage may differ from the mentioned coverage due to factors such as method, condition of application, surface roughness and porosity.",It’s recommended that you should apply 2 coats of Asian Paints Royale Aspira.,"Asian Paints Royale Aspira will last you for years to come, with features such as teflon® surface protector, water beading technology, anti-microbial formula, superior stain resistance, flame spread resistance, crack bridging property and environmentally responsible.","The Asian Paints Royale Aspira dilution ratio is based on the tool you’ll be using. For brush and roller, the ratio is 30 - 35%, and for felt roller, it is 25 - 30%",Yes,Yes,
20,Royale Glitz - Ultra Matt,Interior,Luxury,Liter,Water,1,4,10,20,,4 (Good Washable),6-8 Years,2200+,130-150 Sq.ft/Ltr,Highly Matt,30 Minutes,"Royale Glitz Ultra Matt Luxury Emulsion is a Ultra Matt interior paint which provides a rich luxurious finish to your walls. It offers unmatched stain repellency to keep the walls beautiful.Royale Glitz provides best of both the worlds of Décor and Performance. It has Teflon surface protector which makes it extremely durable and toughest household stains can be cleaned easily and on the other hand. Royale Glitz helps in repelling the household stains
on the wall by not allowing it to percolate deep in film. This unique property makes cleaning the walls much easier and hassle free.Indulge in the ultimate luxury with dead matt finish which offers luxurious touch and provides Ultra Matt like finish making the surface stand out.",,Luxury with Teflon™M,Royale Designer Palette,Stain Repellent,Green Assure,Dead Matt Finish,Low VOC Content,,,,,,,,,Is Royale Glitz Ultra Matt paint washable?,What is the expected coverage per litre of Royale Glitz Ultra Matt?,How many coats are recommended for Royale Glitz Ultra Matt?,How long will Royale Glitz Ultra Matt last after application?,What is the dilution ratio for Royale Glitz Ultra Matt?,"Asian Paints Royale Glitz Ultra Matt comes with Teflon™ surface protection, stain repellant feature and best-in-class washability, which makes the paint washable and easy to clean when it comes to everyday household stains.","Asian Paints Royale Glitz Ultra Matt provides a coverage of 260-280 sq.ft/ltr for 1 coat and 140-160 sq.ft/ltr for 2 coats. However, this coverage may vary from the actual coverage due to various factors such as method and condition of application, surface roughness and porosity.",It’s recommended that you apply two coats of Asian Paints Royale Glitz Ultra Matt so that you get the best-looking walls and long-lasting results.,"Asian Paints Royale Glitz Ultra Matt will last you for years to come, as the paint comes with the best features, such as stain repellency, best-in-class washability, Teflon™ surface protection and more to keep your walls looking new.","Asian Paints Royale Glitz Ultra Matt dilution ratio varies depending on the application tool used. For brush or roller, the ratio is 30-35%, while for airless spray and felt roller, it is 10-20% and 25-30%, respectively.",Yes,Yes,
21,Royale Shyne Luxury Emulsion,Interior,Luxury,Liter,Water,1,4,10,20,,4 (Good Washable),6-8 Years,2200+,130-150 Sq.ft/Ltr,Soft Sheen,30 Minutes,"Luxury has many forms, and one of them is the Royale Shyne Luxury Emulsion. A high sheen, washable wall paint with stain-resistant finish ensures walls look new for a long time.The paint's high gloss and even smoother finish would make you want to stare at it all day. Teflon™ Surface Protector, fortifies your walls against tough stains. The toughest household stains like turmeric and ink are reduced to a large extent, while water-based stain like tea, coffee etc. are completely removed. Royale Shyne Luxury Emulsion is designed to prevent fungal growth on painted surfaces as tested using ASTM D 5590: 2017. It also offers a unique anti- bacterial shield that kills ≥ 99% of microorganisms as tested using Japanese Industrial Standard Z - 2801.",,TeflonTM Surface Protector,Anti- Bacterial and Anti- Fungal Shield,Hi-Sheen Fnish,Green Assure,Low VOC Content,,,,,,,,,,Is Royale Shyne Luxury Emulsion paint washable?,What is the expected coverage per litre of Royale Shyne Luxury Emulsion?,How many coats are recommended for Royale Shyne Luxury Emulsion?,How long will Royale Shyne Luxury Emulsion last after application?,What is the dilution ratio for Royale Shyne Luxury Emulsion?,"Yes, the Asian Paints Royale Shyne Luxury Emulsion has best in class washability. This helps you to keep your walls looking fresh and clean up stains, spills and marks without any hassle.","The expected coverage per litre of Royale Shyne Luxury Emulsion is 270 - 310 sq.ft/ltr for the 1st coat and 140 -160 sq.ft/ltr for the 2nd coat. However, the coverage may vary; you can check the product information sheet for more details.",It is recommended to apply 2 coats of Asian Paints Royale Shyne Luxury Emulsion. You can also refer to our product information sheet to get the right information on applications according to your project.,"Asian Paints Royale Shyne Luxury Emulsion paint will last you years to come; the paint also comes with a warranty of 8-year performance warranty. Additionally, it comes with washability features, which makes it easier for you to keep them clean and pristine.","The dilution of the ratio for Royale Shyne Luxury Emulsion paint with a Brush and Roller is 40 - 45%, and with an Airless Spray is 10 - 20%.",Yes,Yes,
22,Royale Matt,Interior,Luxury,Liter,Water,1,4,10,20,,4 (Good Washable),6-8 Years,2200+,130-150 Sq.ft/Ltr,Highly Matt,30 Minutes,"Royale Luxury Emulsion Matt gives the perfect matt finish to your walls. It's the only washable matt emulsion paint in India equipped with Teflon surface protector that makes it very durable. Teflon™ Surface Protector, fortifies your walls against tough stains. The toughest household stains like turmeric and ink are reduced to a large extent, while water-based stain like tea, coffee etc. are completely removed. Royale Matt Luxury Emulsion is designed to prevent
fungal growth on painted surfaces as tested using ASTM D 5590: 2017. It also offersa unique anti- bacterial shield that kills ≥ 99% of microorganisms as tested using Japanese Industrial Standard Z -2801. Royale Matt Luxury Emulsion gives a matt finish keeping the smoothness of a Royale finish intact.",,TeflonTM Surface Protector,Anti- Bacterial and Anti- Fungal Shield,Smoothest Matt Finish,Green Assure,Low VOC Content,,,,,,,,,,Is Royale Matt paint washable?,What is the expected coverage per liter of Royale Matt?,How many coats are recommended for Royale Matt?,How long will Royale Matt last after the application?,What is the dilution ratio for Royale Matt?,"Yes, Asian Paints Royale Matt Paint is washable and comes with best-in-class washability. It also has Teflon™ Surface Protector, which makes it easy for you to maintain walls that are resistant to tough stains.","The expected coverage of Royale Matt for the first Coat is 270-310 sq.ft/ltr, and for the second Coat, 140-160 sq.ft/ltr. However, this coverage can be different from the actual coverage as it also depends on factors such as the condition of the application, surface roughness, and porosity.","You should apply at least two layers of the Asian Paints Royale Matt with a brush, sprayer or roller.","The Asian Paints Royale Matt will last you for years to come. Its best-in-class washability makes stains and dirt easily wiped away. Plus, it has an 8-year performance warranty, giving you complete peace of mind.",The dilution ratio of Asian Paints Royale Matt is 40-50 with a roller.,Yes,Yes,
23,Royale Glitz - Ultra Shyne,Interior,Luxury,Liter,Water,1,4,10,20,,4 (Good Washable),6-8 Years,2200+,130-150 Sq.ft/Ltr,High Sheen,30 Minutes,Royale Glitz Luxury Emulsion is an Ultra Sheen interior paint which provides a rich luxurious finish to your walls. It also offers unmatched stain repellency to keep the walls beautiful. Royale Glitz provides best of both the worlds of Décor and Performance. It has Teflon surface protector which makes it extremely durable and toughest household stains can be cleaned easily and on the other hand. It has luxurious Ultra Sheen finish which is unmatched. Royale Glitz helps in repelling the household stains on the wall by not allowing it to percolate deep in film. This unique property makes cleaning the walls much easier and hassle free.,,Luxury with Teflon™M,Royale Designer Palette,Stain Repellent,Green Assure,Ultra - Sheen Finish,Low VOC Content,,,,,,,,,Is Royale Glitz paint washable?,What is the expected coverage per litre of Royale Glitz?,How many coats are recommended for Royale Glitz?,How long will Royale Glitz last after application?,What is the dilution ratio for Royale Glitz?,"Yes, the Asian Paints Royale Glitz Luxury Emulsion helps you create the perfect walls, which are easy to maintain and stay beautiful for years to come. This is because of the paint's Teflon surface protector, which makes it washable and easy to clean when it comes to household stains.","The expected coverage of Asian Paints Royale Glitz Luxury Emulsion per litre on a normal masonry surface after brushing with a brush/roller is 260 - 280 sq. ft/ltr, felt roller is 250 - 270 sq. ft/lt,r and a spray is 180 - 220 sq. ft/ltr",,"Asian Paints Royale Glitz Luxury Emulsion will last years, featuring a Teflon Surface Protector, Stain Repellent, Ultra-Sheen Finish, Best-in-Class Washability, and Green Assurance.","The dilution ratio for Asian Paints Royale Glitz Luxury Emulsion varies depending on the application method. For a felt roller, dilute 25-30%, while an airless spray requires 10-20%. The dilution should be 30-35% when using a brush or roller.",Yes,Yes,
24,Royale Glitz Reserv,Interior,Luxury,Liter,Water,1,4,10,20,,4 (Good Washable),6-8 Years,2200+,130-150 Sq.ft/Ltr,Soft Sheen,30 Minutes,"Royale Glitz Reserv is a Soft Sheen interior paint which provides a rich luxurious finish to your walls. It also offers unmatched stain repellency to keep the walls beautiful. Royale Glitz Reserv provides best of both the worlds of Décor and Performance. It has Teflon surface protector which makes it extremely durable & toughest household stains can be cleaned easily and on the other hand. It has luxurious Soft Sheen finish which is unmatched. The promise of Green Assure from Asian Paints, implies that this product conforms to strict international environmental and safety standards. Low VOC standards and the absence of any harmful chemical results in very low odour.",,Luxury with Teflon™M,Royale Designer Palette,Stain Repellent,Green Assure,Ultra - Sheen Finish,Low VOC Content,,,,,,,,,What is the cost of Royal Glitz Reserv paint?,Is Royale Glitz Reserv washable?,,,,"The Asian Paints Royale Glitz price varies depending on the quantity you purchase. It comes in sizes of 1L, 4L, 10L, and 20L, so the cost will differ based on the amount you need. You can check the pricing on our website based on the size, also note that the Asianpaints Royale Glitz Reserv final price may vary depending on the chosen shade and finish.","Yes, Royale Glitz Paint offers the best-in-class washability, making it easy to clean and maintain your walls, keeping them looking fresh and spotless for longer.",,,,Yes,Yes,
25,Royale Advacned,Interior,Luxury,Liter,Water,1,4,10,20,,4 (Good Washable),6-8 Years,2200+,130-150 Sq.ft/Ltr,High Sheen,30 Minutes,"Royale Advanced Luxury Emulsion is an exquisite interior paint that provides luxurious sheen finish to your walls. It’s features: Twin Power & silicon boost makes it truly advanced. Twin Power technology gives higher coverage and better hiding compared to other luxury emulsions. Silicon boost gives it better durability. It has antibacterial feature which will keep your walls new for years. It comes with Twin Power technology that gives higher coverage and better hiding compared to other luxury emulsions. It has antibacterial feature which will provide a more hygienic environment at home. Royale Advanced Luxury Emulsion is powered with silicon boost, it gives higher durability to walls.",,Luxury with Teflon™M,Anti- Bacterial and Anti- Fungal Shield,Silicon Boost,Green Assure,Twin Power,Low VOC Content,,,,,,,,,Is Royale Advanced paint washable?,What is the expected coverage per liter of Royale Advanced?,How many coats are recommended for Royale Advanced?,How long will Royale Advanced last after application?,What is the dilution ratio for Royale Advanced?,Asian Paints Royale Advanced Paint comes with a TeflonTM Surface Protector and Best in Class Washability. This helps fight the toughest household stains and keep them clean with a simple wipe.,The expected coverage of Asian Paints Royale Advanced for the first coat and the second coat is 300 -330 sq. ft./lt and 155- 175sq. ft./lt given as per the short nap roller.,It’s recommended that you need to use two coats of Asian Paints Royale Advanced.,"The Asian Paints Royale Advanced lasts for years to come and also has a performance warranty of 8-years. Also, with its TeflonTM Surface Protector and Washability feature, you can keep your walls stain-free, spill free and other household stains.",The dilution ratio of Asian Paints Royale Advanced for a Brush and Roller is 40 - 45% and 10 - 20% for Airless Spray.,Yes,Yes,
26,Royale Shyne Advanced,Interior,Luxury,Liter,Water,1,4,10,20,,4 (Good Washable),6-8 Years,2200+,130-150 Sq.ft/Ltr,High Sheen,30 Minutes,"Asian Paints Royale Shyne Advanced Luxury Emulsion is a high sheen, washable wall paint with stain-resistant finish ensures walls look new for a long time. It comes with Twin Power technology that gives higher coverage and better hiding compared to other luxury emulsions. It has antibacterial feature which will provide a more hygienic environment at home. Teflon™M Surface Protector, fortifies your walls against tough stains. The toughest household stains like turmeric and ink are reduced to a large extent, while water-based stain like tea, coffee etc. are completely removed.",,TeflonTM Surface Protector,Anti- Bacterial and Anti- Fungal Shield,Silicon Boost,Green Assure,Twin Power,Hi-Sheen Fnish,,,,,,,,,Is Royale Shyne Advanced paint washable?,What is the expected coverage per liter of Royale Shyne Advanced?,How many coats are recommended for Royale Shyne Advanced?,How long will Royale Shyne Advanced last after application?,What is the dilution ratio for Royale Shyne Advanced?,Asian Paints Royale Shyne Advanced Paint comes with a TeflonTM Surface Protector and Best in Class Washability. This helps fight the toughest household stains and keep them clean with a simple wipe.,The expected coverage of Asian Paints Royale Shyne Advanced for the first coat and the second coat is 300 -330 sq. ft./lt and 155- 175sq. ft./lt given as per the short nap roller.,It’s recommended that you need to use two coats of Asian Paints Royale Shyne Advanced.,"The Asian Paints Royale Shyne Advanced lasts for years to come and also has a performance warranty of 8-years. Also, with its TeflonTM Surface Protector and Washability feature, you can keep your walls stain-free, spill free and other household stains.",The dilution ratio of Asian Paints Royale Shyne  Advanced for a Brush and Roller is 40 - 45% and 10 - 20% for Airless Spray.,Yes,Yes,
